Dates;Type;Price;Size
1/16/2023 12:47:44 PM;TRADE;9;77
1/16/2023 12:47:44 PM;TRADE;9.12;3
1/16/2023 12:47:44 PM;BEST_BID;9;550
1/16/2023 12:47:52 PM;BEST_ASK;9.08;10
1/16/2023 12:48:17 PM;BEST_ASK;9.12;374
1/16/2023 12:48:17 PM;TRADE;9.08;10
1/16/2023 12:48:17 PM;TRADE;9.12;15
1/16/2023 12:48:24 PM;BEST_BID;8.82;480
1/16/2023 12:48:24 PM;BEST_ASK;9;7450
1/16/2023 12:48:24 PM;TRADE;9;550
1/16/2023 12:49:01 PM;BEST_BID;8.9;250
1/16/2023 12:50:10 PM;BEST_BID;8.92;100
1/16/2023 12:53:32 PM;BEST_ASK;9.1;10450
1/16/2023 12:53:33 PM;BEST_ASK;9.08;374
1/16/2023 12:53:57 PM;TRADE;9.08;22
1/16/2023 12:53:57 PM;BEST_ASK;9.08;352
1/16/2023 12:55:02 PM;BEST_ASK;9.1;10447
1/16/2023 12:55:02 PM;TRADE;9.08;352
1/16/2023 12:55:02 PM;TRADE;9.1;3
1/16/2023 12:57:00 PM;BEST_BID;8.94;55
1/16/2023 12:59:40 PM;BEST_ASK;9;7450
1/16/2023 1:03:05 PM;BEST_BID;8.82;480
1/16/2023 1:03:05 PM;BEST_ASK;8.9;179
1/16/2023 1:03:05 PM;TRADE;8.94;55
1/16/2023 1:03:05 PM;TRADE;8.92;100
1/16/2023 1:03:05 PM;TRADE;8.9;250
1/16/2023 1:03:17 PM;BEST_ASK;9;7450
1/16/2023 1:03:17 PM;TRADE;8.9;179
1/16/2023 1:03:39 PM;BEST_ASK;9;6924
1/16/2023 1:03:39 PM;TRADE;9;526
1/16/2023 1:03:58 PM;BEST_BID;8.84;150
1/16/2023 1:05:05 PM;BEST_ASK;9.1;9921
1/16/2023 1:05:17 PM;BEST_ASK;9.1;9909
1/16/2023 1:05:17 PM;TRADE;9.1;12
1/16/2023 1:05:33 PM;BEST_BID;8.84;112
1/16/2023 1:10:44 PM;BEST_ASK;9.1;2985
1/16/2023 1:19:35 PM;BEST_ASK;9.14;3035
1/16/2023 1:19:47 PM;BEST_ASK;9.14;3027
1/16/2023 1:19:47 PM;TRADE;9.14;8
1/16/2023 1:23:59 PM;BEST_BID;8.84;912
1/16/2023 1:24:15 PM;BEST_BID;8.86;112
1/16/2023 1:24:33 PM;BEST_BID;8.9;112
1/16/2023 1:24:43 PM;BEST_ASK;9.1;6924
1/16/2023 1:31:48 PM;BEST_ASK;9.08;3027
1/16/2023 1:50:00 PM;TRADE;9.08;1000
1/16/2023 1:50:00 PM;BEST_ASK;9.08;2027
1/16/2023 1:50:22 PM;BEST_ASK;9.1;6924
1/16/2023 1:50:49 PM;BEST_ASK;9.08;667
1/16/2023 2:13:07 PM;BEST_ASK;9.08;1030
1/16/2023 2:28:07 PM;BEST_ASK;9.08;667
1/16/2023 2:28:07 PM;BEST_ASK;9.08;1030
1/16/2023 2:28:19 PM;BEST_ASK;9.08;667
1/16/2023 2:28:19 PM;BEST_ASK;9.08;1030
1/16/2023 2:39:28 PM;BEST_BID;8.9;282
1/16/2023 2:52:27 PM;BEST_BID;9.08;718
